File Path, length, jumps, hops, dives, movetoward, moveaway, moveup, leftscore, right score
Assets/DropFeetGame/RecordedReplays/NeuroAgents/replay2020-03-6--17-22-13Session1.bytes,15.86532,0,28,28,37.79999,22.04995,44.54803,7, 0
Assets/DropFeetGame/RecordedReplays/NeuroAgents/replay2020-03-6--17-23-07Session1.bytes,16.17477,22,2,24,46.80001,7.464737E-05,70.54807,16, 0
Assets/DropFeetGame/RecordedReplays/NeuroAgents/replay2020-03-6--17-23-50Session1.bytes,16.38208,0,28,28,42.0001,11.7601,42,0, 7
Assets/DropFeetGame/RecordedReplays/NeuroAgents/replay2020-03-6--17-24-44Session1.bytes,18.06551,0,40,40,55.35991,24.00994,61.904,1, 5
Assets/DropFeetGame/RecordedReplays/NeuroAgents/replay2020-03-6--17-26-47Session1.bytes,15.8274,0,28,28,37.8,22.04999,45.048,7, 0
Assets/DropFeetGame/RecordedReplays/NeuroAgents/replay2020-03-6--17-27-31Session1.bytes,15.86367,0,28,28,37.73003,21.98001,44.88801,7, 0
Assets/DropFeetGame/RecordedReplays/NeuroAgents/replay2020-03-6--17-28-12Session1.bytes,15.52967,16,0,16,59.99989,8.225441E-06,68.256,8, 0
Assets/DropFeetGame/RecordedReplays/NeuroAgents/replay2020-03-6--17-28-57Session1.bytes,16.15889,20,4,24,46.80001,8.443743E-05,70.84799,15, 0
